img_name,plane
2016-08-02T13+50+24_430Z,FALSE
2016-08-02T14+12+37_390Z,FALSE
2016-08-02T22+20+26_600Z,FALSE
2016-08-03T12+04+30_670Z,FALSE
2016-08-03T12+32+21_790Z,FALSE
2016-08-03T13+19+28_320Z,FALSE
2016-08-03T17+05+28_270Z,FALSE
2016-08-03T22+21+37_680Z,FALSE
2016-08-05T15+07+06_220Z,FALSE
2016-08-05T15+24+58_670Z,FALSE
2016-08-05T15+56+24_160Z,FALSE
2016-08-05T15+59+58_190Z,FALSE
2016-08-05T23+17+30_100Z,FALSE
2016-08-06T19+33+04_810Z,FALSE
2016-08-06T19+34+24_330Z,FALSE
2016-08-06T19+35+37_750Z,FALSE
2016-08-06T19+36+44_640Z,FALSE
2016-08-06T19+39+54_500Z,FALSE
2016-08-06T19+52+37_110Z,FALSE
2016-08-06T19+56+00_110Z,FALSE
2016-08-06T19+56+12_180Z,FALSE
2016-08-06T20+11+41_090Z,FALSE
2016-08-06T20+12+48_300Z,FALSE
2016-08-06T20+13+17_820Z,FALSE
2016-08-06T20+36+18_210Z,FALSE
2016-08-07T12+55+29_840Z,FALSE
2016-08-07T14+36+25_880Z,FALSE
2016-08-07T17+22+10_590Z,FALSE
2016-08-07T17+23+58_570Z,FALSE
2016-08-07T17+42+43_350Z,FALSE
2016-08-07T18+08+06_500Z,FALSE
2016-08-07T18+08+35_190Z,FALSE
2016-08-07T18+15+49_220Z,FALSE
2016-08-07T18+39+36_420Z,FALSE
2016-08-07T18+47+42_620Z,FALSE
2016-08-07T19+00+57_850Z,FALSE
2016-08-07T19+09+11_810Z,FALSE
2016-08-07T19+12+08_450Z,FALSE
2016-08-07T19+25+20_830Z,FALSE
2016-08-07T19+39+12_240Z,FALSE
2016-08-07T19+40+29_790Z,FALSE
2016-08-07T19+41+02_960Z,FALSE
2016-08-07T19+44+49_120Z,FALSE
2016-08-07T19+46+51_370Z,FALSE
2016-08-07T19+54+31_540Z,FALSE
2016-08-07T21+23+08_630Z,FALSE
2016-08-07T22+00+25_890Z,FALSE
2016-08-07T23+20+32_540Z,FALSE
2016-08-07T23+52+42_850Z,FALSE
2016-08-08T12+00+45_420Z,FALSE
2016-08-08T13+37+31_150Z,FALSE
2016-08-08T13+40+34_350Z,FALSE
2016-08-08T16+11+51_240Z,FALSE
2016-08-08T18+30+22_920Z,FALSE
2016-08-09T16+59+52_220Z,FALSE
2016-08-09T17+39+01_400Z,FALSE
2016-08-09T19+23+40_610Z,FALSE
2016-08-09T21+02+29_490Z,FALSE
2016-08-09T21+21+02_130Z,FALSE
2016-08-10T20+09+33_880Z,FALSE
